Reference, Value, Footprint, Datasheet
"C1","47nF","Capacitors_SMD:C_0805_HandSoldering",""
"R2","200K","Resistors_SMD:R_0805_HandSoldering",""
"R3","1M","Resistors_SMD:R_0805_HandSoldering",""
"R4","47K","Resistors_SMD:R_0805_HandSoldering",""
"R5","47K","Resistors_SMD:R_0805_HandSoldering",""
"C4","1nF","Capacitors_SMD:C_0805_HandSoldering",""
"C5","100nF","Capacitors_SMD:C_0805_HandSoldering",""
"R6","3K3","Resistors_SMD:R_0805_HandSoldering",""
"J_IN1","JACK__MONO_2P_NC","NeutrikAudioJack:NeutrikAudioSocket_Mono_PCB_NARROWPADS",""
"J_OUT1","JACK__MONO_2P_NC","NeutrikAudioJack:NeutrikAudioSocket_Mono_PCB_NARROWPADS",""
"D4","D_Schottky","Diodes_SMD:D_SOD-123",""
"J_P1","BARREL_JACK","Connectors:BARREL_JACK",""
"SW_ON_1","SW_3PDT_on_on","custom_sw:SW_3PDT_W18MM_L17.3MM_P5.3MM_D2MM_SolderLugs",""
"D3","PWRLED1","LEDs:LED_D5.0mm",""
"R26","2K2","Resistors_SMD:R_0805_HandSoldering",""
"U1","4069UB","Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm",""
"R1","1M","Resistors_SMD:R_0805_HandSoldering",""
"C2","1nF","Capacitors_SMD:C_0805_HandSoldering",""
"U2","4066BMS","Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm",""
"VR_LPF1","B500K","Potentiometers:Potentiometer_Bourns_PTV09A-1_Horizontal",""
"VR_THRESH1","B500K","Potentiometers:Potentiometer_Bourns_PTV09A-1_Horizontal",""
"VR_ATTACK1","A100K","Potentiometers:Potentiometer_Bourns_PTV09A-1_Horizontal",""
"J_MAIN2AUX1","CONN_01X04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"J_MAIN2AUX2","CONN_01X04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"J_MAIN2AUX3","CONN_01X04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"J_MAIN2AUX4","CONN_01X04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"J_AUX2MAIN1","CONN_01X04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"J_AUX2MAIN2","CONN_01X04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"J_AUX2MAIN3","CONN_01X04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"J_AUX2MAIN4","CONN_01X04","Pin_Headers:Pin_Header_Straight_1x04_Pitch2.54mm",""
"C14","100nF","Capacitors_SMD:C_0805_HandSoldering",""
"C15","100nF","Capacitors_SMD:C_0805_HandSoldering",""
"R28","200K","Resistors_SMD:R_0805_HandSoldering",""
"LEVEL1","100K","Potentiometers:Potentiometer_Bourns_PTV09A-1_Horizontal",""
"R7","1M","Resistors_SMD:R_0805_HandSoldering",""
"R9","10K","Resistors_SMD:R_0805_HandSoldering",""
"R8","1M","Resistors_SMD:R_0805_HandSoldering",""
"R13","470K","Resistors_SMD:R_0805_HandSoldering",""
"C6","47nF","Capacitors_SMD:C_0805_HandSoldering",""
"D1","D","Diodes_SMD:D_SOD-123",""
"D2","D","Diodes_SMD:D_SOD-123",""
"C9","47nF","Capacitors_SMD:C_0805_HandSoldering",""
"R15","1M","Resistors_SMD:R_0805_HandSoldering",""
"R18","20M","Resistors_SMD:R_0805_HandSoldering",""
"R19","10M","Resistors_SMD:R_0805_HandSoldering",""
"R20","47K","Resistors_SMD:R_0805_HandSoldering",""
"R21","10M","Resistors_SMD:R_0805_HandSoldering",""
"R22","10M","Resistors_SMD:R_0805_HandSoldering",""
"C11","100nF","Capacitors_SMD:C_0805_HandSoldering",""
"R25","47k","Resistors_SMD:R_0805_HandSoldering",""
"R17","47K","Resistors_SMD:R_0805_HandSoldering",""
"C7","100pF","Capacitors_SMD:C_0805_HandSoldering",""
"R14","100K","Resistors_SMD:R_0805_HandSoldering",""
"R12","47K","Resistors_SMD:R_0805_HandSoldering",""
"C10","10pF","Capacitors_SMD:C_0805_HandSoldering",""
"R10","100K","Resistors_SMD:R_0805_HandSoldering",""
"R11","100K","Resistors_SMD:R_0805_HandSoldering",""
"U4","4069UB","Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm",""
"U3","4069UB","Housings_SOIC:SOIC-14_3.9x8.7mm_Pitch1.27mm",""
"R16","3K3","Resistors_SMD:R_0805_HandSoldering",""
"R23","10M","Resistors_SMD:R_0805_HandSoldering",""
"R24","2.2M","Resistors_SMD:R_0805_HandSoldering",""
"C12","100nF","Capacitors_SMD:C_0805_HandSoldering",""
"C13","100nF","Capacitors_SMD:C_0805_HandSoldering",""
"R27","100K","Resistors_SMD:R_0805_HandSoldering",""
